epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,15469.6,1.04535,0.45686,0.00465,0.96319,0.9198,0.97164,0.84819,0.8142,0.37425,0.00521,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,15949,1.04742,0.46401,0.00472,0.9694,0.90106,0.97337,0.85107,0.86709,0.38152,0.00536,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,16429.2,1.0202,0.44886,0.00457,0.95856,0.92209,0.97354,0.84553,0.88155,0.3871,0.00559,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,16909.6,1.03893,0.45755,0.00461,0.95841,0.92681,0.96934,0.82371,0.92556,0.39054,0.00595,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,17391,1.03872,0.4485,0.00462,0.96281,0.92962,0.97625,0.83339,0.8754,0.36602,0.00582,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,17870.3,1.02489,0.44639,0.00451,0.96234,0.92546,0.97378,0.85573,0.82884,0.3602,0.00528,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,18348.1,1.04066,0.44909,0.0045,0.95036,0.93409,0.97604,0.8577,0.83895,0.36143,0.00529,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,18826.8,1.01867,0.43554,0.00442,0.96498,0.92368,0.97775,0.86308,0.80058,0.34871,0.00501,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,19305,1.02256,0.43817,0.00454,0.97427,0.92395,0.979,0.85485,0.84412,0.35962,0.0056,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,19784.3,1.02107,0.43605,0.0045,0.96151,0.92947,0.97691,0.85923,0.79718,0.34516,0.00488,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
